DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
30-11-99,0.0341,0.0569,-0.0565,0.0549,-0.0745,-0.0418,-0.0184
31-12-99,0.0766,0.051,-0.0766,0.1314,-0.1619,-0.08,-0.0587
31-01-00,-0.0474,0.0421,-0.0112,0.0186,0.044,-0.0615,0.0456
29-02-00,0.0245,0.1846,-0.0977,0.1802,-0.2415,-0.1895,-0.0113
31-03-00,0.0521,-0.1554,0.085,-0.0685,0.0685,0.1165,-0.012
30-04-00,-0.0635,-0.0475,0.0645,-0.086,0.0932,0.0807,0.0563
31-05-00,-0.0439,-0.0386,0.0459,-0.0899,0.1326,0.0405,0.0147
30-06-00,0.0468,0.0995,-0.0804,0.1663,-0.0846,-0.0831,-0.0317
31-07-00,-0.0248,-0.0094,0.0806,-0.0016,-0.0119,0.0572,0.0298
31-08-00,0.0703,-0.0095,-0.0137,0.0559,-0.0525,-0.0306,0.0121
30-09-00,-0.0544,0.0027,0.0724,0.0189,0.1786,0.027,0.0554
31-10-00,-0.0278,-0.0258,0.0558,-0.0456,0.1217,0.0954,0.0371
30-11-00,-0.107,-0.0035,0.1224,-0.0217,0.212,0.1305,0.0835
31-12-00,0.0118,0.0326,0.0755,0.0659,0.0454,0.0192,0.0482
31-01-01,0.0325,0.0523,-0.0505,-0.2535,-0.199,-0.052,-0.0521
28-02-01,-0.1003,0.0287,0.1223,0.126,0.2154,0.0912,0.0901
31-03-01,-0.0725,0.0233,0.0647,0.0865,0.0917,0.0334,0.0372
30-04-01,0.0794,-0.0088,-0.0464,-0.0801,-0.0689,-0.0318,-0.0319
31-05-01,0.0068,0.0355,0.0338,0.0215,0.0122,0.0029,0.0195
30-06-01,-0.0194,0.0669,-0.0126,0.0062,-0.0443,0.0157,-0.0167
31-07-01,-0.0213,-0.0286,0.0495,0.0548,0.0724,0.0729,0.029
31-08-01,-0.064,0.0254,0.0286,0.0546,0.107,0.0381,0.0653
30-09-01,-0.0924,-0.0574,0.0152,0.1138,0.1503,0.0503,0.0335
31-10-01,0.0248,0.0534,-0.0731,-0.0832,-0.0946,-0.0298,-0.0436
30-11-01,0.0753,-0.0036,0.0217,-0.0861,-0.1185,-0.0349,-0.0168
31-12-01,0.0161,0.0511,0.0083,0.0002,0.0037,0.0026,-0.0028
31-01-02,-0.0144,0.0128,0.0342,0.0365,0.0235,0.0473,0.0283
28-02-02,-0.0228,-0.0038,0.0234,0.0683,0.1176,0.0803,0.051
31-03-02,0.0424,0.0415,0.0108,-0.0169,-0.0318,-0.0183,0.0066
30-04-02,-0.0521,0.0663,0.0401,0.077,0.1076,0.0459,0.0535
31-05-02,-0.0136,-0.0307,0.0152,0.0309,0.0136,0.0231,0.0253
30-06-02,-0.0723,0.0376,0.0037,0.0624,0.0178,0.0392,0.0266
31-07-02,-0.0819,-0.0633,-0.0351,0.0363,0.0765,0.0384,-0.011
31-08-02,0.005,-0.0128,0.0301,0.0187,0.017,0.0137,-0.014
30-09-02,-0.1034,0.0305,0.0126,0.0918,0.0604,0.0329,-0.0229
31-10-02,0.0784,-0.0429,-0.0376,-0.0558,-0.1281,-0.0316,0.0073
30-11-02,0.0596,0.0294,-0.0116,-0.1643,-0.1329,-0.0925,0.0516
31-12-02,-0.0576,0.0055,0.0211,0.0972,0.1202,0.0632,-0.0179
31-01-03,-0.0257,0.0071,-0.0079,0.0159,0.0015,-0.0093,0.0069
28-02-03,-0.0188,-0.0087,-0.0136,0.0121,-0.0246,0.0079,-0.0068
31-03-03,0.0109,0.0077,-0.0211,0.014,0.0149,0.0168,-0.0081
30-04-03,0.0818,0.0114,0.0122,-0.0935,-0.0725,-0.0468,0.0098
31-05-03,0.0605,0.0478,0.007,-0.1075,-0.0451,-0.0694,0.0307
